,id,name,status,formed_in,genre,theme,active,ended_in,country
0,2,Azure,Active,2018.0,Glam Metal,Rhinestones,2018-2022,2022,
1,3,.F.O.A.D.,Active,2009.0,Death Metal,Life and Death,2009-2022,2022,France
2,5,12 Days of Anarchy,Split-up,1998.0,Death Metal,Anarchy,1998-2002,2002,United States
3,7,1917,Active,1994.0,Death Metal,Dark Philosophical Poetry,1994-2022,2022,Argentina
4,8,5th Column,Active,2003.0,Death Metal,War,2003-2022,2022,United States
5,10,602,Active,2012.0,Death Metal,Cruelty of regimes,2012-2022,2022,Russia
6,13,9,Active,2008.0,Death Metal,War,2008-2022,2022,Argentina
7,14,9th Plague,Split-up,2000.0,Death Metal,Anti-Christianity,2000-2008,2008,Sweden
8,17,A Greed Science,Active,2009.0,Death Metal,Humanity,2009-2022,2022,Australia
9,18,A Life Less Alive,Active,1997.0,Death Metal,Death,1997-2022,2022,United States
10,30,Abaddon,Active,2007.0,Death Metal,Evil,2007-2022,2022,Czech Republic
11,42,Abbysmal,Active,2012.0,Death Metal,Death,2012-2022,2022,Bolivia
12,43,Abdicated,Active,2009.0,Death Metal,Evil,2009-2022,2022,Brazil
13,44,Abdominal,Split-up,1995.0,Death Metal,Pathologic and Clinic themes,1995-2003,2003,Colombia
14,45,Abducción,Active,2011.0,Death Metal,Existentialism,2011-2022,2022,Colombia
15,48,Aberrante,Active,2012.0,Death Metal,Death,2012-2022,2022,Panama
16,52,Abhor,Split-up,1991.0,Death Metal,Chaotic Metaphoric Themes,1991-1993,1993,Brazil
17,53,Abhordium,Active,2005.0,Death Metal,Death,2005-2022,2022,Finland
18,58,Abhorrence,Split-up,1992.0,Death Metal,Christianity,1992-1994,1994,South Africa
19,61,Abhorrent Decimation,Active,2013.0,Death Metal,Anti-religion,2013-2022,2022,United Kingdom
20,74,Abnormal,Active,2000.0,Death Metal,Insanity,2000-2022,2022,Norway
21,76,Abnormity,Split-up,1990.0,Death Metal,Gore,1990-1992,1992,Sweden
22,80,Abominal Mortus,Active,2004.0,Death Metal,Death,2004-2022,2022,Mexico
23,85,Abominations,Active,2016.0,Death Metal,Horror,2016-2022,2022,Germany
